cpu_percent,load_avg_1,load_avg_5,load_avg_15,gpu_util,gpu_mem_used,gpu_temp,gpu_power,mem_total,mem_available,mem_used,mem_percent,swap_total,swap_used,swap_percent,read_bytes,write_bytes,bytes_sent,bytes_recv,tcp_congestion_control,timestamp,tcp_congestion_encoded,sched_latency_ns,sched_migration_cost_ns,sched_wakeup_granularity_ns,sched_min_granularity_ns,sched_child_runs_first,sched_autogroup_enabled,sched_rr_timeslice_ms,swappiness,dirty_ratio,dirty_background_ratio,dirty_expire_centisecs,dirty_writeback_centisecs,min_free_kbytes,overcommit_memory,overcommit_ratio,vfs_cache_pressure,somaxconn,tcp_fin_timeout,tcp_tw_reuse,tcp_syncookies,tcp_max_syn_backlog,tcp_rmem_min,tcp_rmem_default,tcp_rmem_max,tcp_wmem_min,tcp_wmem_default,tcp_wmem_max,workload_type,exec_time,cpu_avg,perf_score
8.5,3.43017578125,3.79931640625,3.43359375,0.0,2.0,30.0,31.36,472735358976,447902695424,21640163328,5.3,0,0,0.0,64722935926784,215943385141760,126865458,114294993,cubic,2025-07-19 15:36:05,0,24000000,500000,4000000,3000000,0,1,100,60,10,5,3000,500,90112,0,50,200,4096,60,2,1,4096,4096,131072,6291456,4096,16384,4194304,cpu_bound,13.31,8.3,0.08
4.0,3.3154296875,3.76904296875,3.42578125,0.0,2.0,31.0,31.36,472735358976,447912624128,21630238720,5.3,0,0,0.0,64722935926784,215943385707008,126888595,114315188,cubic,2025-07-19 15:36:11,0,24000000,500000,4000000,3000000,0,1,100,60,10,5,3000,500,90112,0,50,200,4096,60,2,1,4096,4096,131072,6291456,4096,16384,4194304,cpu_bound,13.72,4.57,0.06
4.3,3.2099609375,3.7392578125,3.41796875,0.0,2.0,30.0,31.37,472735358976,447914123264,21628727296,5.3,0,0,0.0,64722935926784,215943386079744,126898659,114324184,cubic,2025-07-19 15:36:15,0,24000000,500000,4000000,3000000,0,1,100,60,10,5,3000,500,90112,0,50,200,4096,60,2,1,4096,4096,131072,6291456,4096,16384,4194304,cpu_bound,13.72,4.57,0.06
5.4,3.03271484375,3.693359375,3.40478515625,0.0,2.0,30.0,31.36,472735358976,447912251392,21630599168,5.3,0,0,0.0,64722935959552,215943387333120,126909066,114333685,cubic,2025-07-19 15:36:20,0,24000000,500000,4000000,3000000,0,1,100,60,10,5,3000,500,90112,0,50,200,4096,60,2,1,4096,4096,131072,6291456,4096,16384,4194304,cpu_bound,13.72,4.57,0.06
8.9,2.94970703125,3.6650390625,3.39697265625,0.0,2.0,30.0,31.46,472735358976,447914590208,21628272640,5.3,0,0,0.0,64722935959552,215943387705856,126929361,114350840,cubic,2025-07-19 15:36:25,0,24000000,500000,4000000,3000000,0,1,100,60,10,5,3000,500,90112,0,50,200,4096,60,2,1,4096,4096,131072,6291456,4096,16384,4194304,cpu_bound,13.31,9.07,0.08
9.0,2.87353515625,3.63720703125,3.38916015625,0.0,2.0,30.0,31.43,472735358976,447911944192,21630918656,5.3,0,0,0.0,64722935959552,215943388062208,126940184,114361029,cubic,2025-07-19 15:36:29,0,24000000,500000,4000000,3000000,0,1,100,60,10,5,3000,500,90112,0,50,200,4096,60,2,1,4096,4096,131072,6291456,4096,16384,4194304,cpu_bound,13.31,9.07,0.08
9.3,2.8837890625,3.62646484375,3.38671875,0.0,2.0,30.0,31.43,472735358976,447908245504,21634617344,5.3,0,0,0.0,64722935959552,215943388578304,126951178,114371871,cubic,2025-07-19 15:36:34,0,24000000,500000,4000000,3000000,0,1,100,60,10,5,3000,500,90112,0,50,200,4096,60,2,1,4096,4096,131072,6291456,4096,16384,4194304,cpu_bound,13.31,9.07,0.08
9.3,2.8935546875,3.61572265625,3.38427734375,0.0,2.0,30.0,31.38,472735358976,447915323392,21627539456,5.3,0,0,0.0,64722935992320,215943388922368,126970659,114390172,cubic,2025-07-19 15:36:39,0,24000000,500000,4000000,3000000,0,1,100,60,10,5,3000,500,90112,0,50,200,4096,60,2,1,4096,4096,131072,6291456,4096,16384,4194304,cpu_bound,12.76,8.6,0.08
8.3,2.82177734375,3.5888671875,3.37646484375,0.0,2.0,30.0,31.38,472735358976,447908605952,21634256896,5.3,0,0,0.0,64722935992320,215943389557248,126980544,114400105,cubic,2025-07-19 15:36:44,0,24000000,500000,4000000,3000000,0,1,100,60,10,5,3000,500,90112,0,50,200,4096,60,2,1,4096,4096,131072,6291456,4096,16384,4194304,cpu_bound,12.76,8.6,0.08
8.2,2.82177734375,3.5888671875,3.37646484375,0.0,2.0,30.0,31.44,472735358976,447912902656,21629960192,5.3,0,0,0.0,64722936926208,215943391969792,126990015,114409470,cubic,2025-07-19 15:36:48,0,24000000,500000,4000000,3000000,0,1,100,60,10,5,3000,500,90112,0,50,200,4096,60,2,1,4096,4096,131072,6291456,4096,16384,4194304,cpu_bound,12.76,8.6,0.08
9.7,5.64208984375,4.189453125,3.5751953125,0.0,2.0,30.0,31.41,472735358976,447912550400,21630308352,5.3,0,0,0.0,64722936926208,215943392363008,127013195,114430410,cubic,2025-07-19 15:36:54,0,24000000,500000,4000000,3000000,0,1,100,60,10,5,3000,500,90112,0,50,200,4096,60,2,1,4096,4096,131072,6291456,4096,16384,4194304,cpu_bound,13.61,7.37,0.07
8.5,5.64208984375,4.189453125,3.5751953125,0.0,2.0,30.0,31.53,472735358976,447913537536,21629325312,5.3,0,0,0.0,64722936958976,215943392940544,127023195,114439438,cubic,2025-07-19 15:36:58,0,24000000,500000,4000000,3000000,0,1,100,60,10,5,3000,500,90112,0,50,200,4096,60,2,1,4096,4096,131072,6291456,4096,16384,4194304,cpu_bound,13.61,7.37,0.07
3.9,5.43017578125,4.16943359375,3.57177734375,0.0,2.0,30.0,31.41,472735358976,447915003904,21627858944,5.3,0,0,0.0,64722937057280,215943393468928,127034192,114449359,cubic,2025-07-19 15:37:03,0,24000000,500000,4000000,3000000,0,1,100,60,10,5,3000,500,90112,0,50,200,4096,60,2,1,4096,4096,131072,6291456,4096,16384,4194304,cpu_bound,13.61,7.37,0.07
2.7,5.0751953125,4.11669921875,3.5576171875,0.0,2.0,30.0,31.47,472735358976,447911792640,21631070208,5.3,0,0,0.0,64722937090048,215943393878528,127055560,114467167,cubic,2025-07-19 15:37:08,0,24000000,500000,4000000,3000000,0,1,100,60,10,5,3000,500,90112,0,50,200,4096,60,2,1,4096,4096,131072,6291456,4096,16384,4194304,cpu_bound,13.09,5.0,0.07
2.6,4.74853515625,4.06494140625,3.54345703125,0.0,2.0,30.0,31.39,472735358976,447915663360,21627187200,5.3,0,0,0.0,64722937090048,215943394390528,127064451,114475330,cubic,2025-07-19 15:37:12,0,24000000,500000,4000000,3000000,0,1,100,60,10,5,3000,500,90112,0,50,200,4096,60,2,1,4096,4096,131072,6291456,4096,16384,4194304,cpu_bound,13.09,5.0,0.07
9.7,8.21240234375,4.79443359375,3.78271484375,0.0,2.0,30.0,31.39,472735358976,447913234432,21629628416,5.3,0,0,0.0,64722937090048,215943394947584,127075450,114485253,cubic,2025-07-19 15:37:16,0,24000000,500000,4000000,3000000,0,1,100,60,10,5,3000,500,90112,0,50,200,4096,60,2,1,4096,4096,131072,6291456,4096,16384,4194304,cpu_bound,13.09,5.0,0.07
8.0,7.794921875,4.76416015625,3.7783203125,0.0,2.0,30.0,31.39,472735358976,447907987456,21634875392,5.3,0,0,0.0,64722937122816,215943395959296,127094955,114501766,cubic,2025-07-19 15:37:22,0,24000000,500000,4000000,3000000,0,1,100,60,10,5,3000,500,90112,0,50,200,4096,60,2,1,4096,4096,131072,6291456,4096,16384,4194304,cpu_bound,13.19,8.6,0.08
