cpu_percent,load_avg_1,load_avg_5,load_avg_15,gpu_util,gpu_mem_used,gpu_temp,gpu_power,mem_total,mem_available,mem_used,mem_percent,swap_total,swap_used,swap_percent,read_bytes,write_bytes,bytes_sent,bytes_recv,tcp_congestion_control,timestamp,tcp_congestion_encoded,workload_type,kernel_sched_latency_ns,kernel_sched_migration_cost_ns,vm_swappiness,vm_dirty_ratio,vm_dirty_expire_centisecs,tcp_rmem_min,tcp_rmem_default,tcp_rmem_max
9.0,6.23876953125,4.3349609375,4.52392578125,0.0,2.0,32.0,28.1,472735358976,419155468288,50401239040,11.3,0,0,0.0,64550549647360,215039972633088,133805295,284559145,cubic,2025-07-17 16:31:29,0,memory_bound,10000000,5000000,30,10,500,4096,65536,4194304
10.8,6.23876953125,4.3349609375,4.52392578125,0.0,2.0,32.0,28.05,472735358976,419118186496,50438451200,11.3,0,0,0.0,64550549647360,215039973128704,133815129,284568235,cubic,2025-07-17 16:31:32,0,memory_bound,10000000,5000000,30,10,500,4096,65536,4194304
9.2,5.89892578125,4.2958984375,4.51025390625,0.0,2.0,32.0,27.98,472735358976,419035852800,50520805376,11.4,0,0,0.0,64550549647360,215039974595072,133828394,284580704,cubic,2025-07-17 16:31:35,0,memory_bound,10000000,5000000,30,10,500,4096,65536,4194304
8.9,5.58642578125,4.25732421875,4.49658203125,0.0,2.0,32.0,27.98,472735358976,419106889728,50449809408,11.3,0,0,0.0,64550549647360,215039974853120,133841407,284593185,cubic,2025-07-17 16:31:38,0,memory_bound,10000000,5000000,30,10,500,4096,65536,4194304
9.2,5.58642578125,4.25732421875,4.49658203125,0.0,2.0,32.0,27.98,472735358976,419112296448,50444435456,11.3,0,0,0.0,64550549647360,215039975111168,133852130,284603586,cubic,2025-07-17 16:31:41,0,memory_bound,20000000,10000000,10,5,300,16384,87380,16777216
8.5,5.298828125,4.2197265625,4.48291015625,0.0,2.0,32.0,28.01,472735358976,419061018624,50495569920,11.4,0,0,0.0,64550549647360,215039975160320,133894326,284644704,cubic,2025-07-17 16:31:44,0,memory_bound,20000000,10000000,10,5,300,16384,87380,16777216
9.2,5.298828125,4.2197265625,4.48291015625,0.0,2.0,32.0,27.99,472735358976,419024392192,50532212736,11.4,0,0,0.0,64550549647360,215039975389696,133913458,284663172,cubic,2025-07-17 16:31:47,0,memory_bound,20000000,10000000,10,5,300,16384,87380,16777216
8.9,5.1142578125,4.19921875,4.474609375,0.0,2.0,32.0,27.95,472735358976,419093200896,50463494144,11.3,0,0,0.0,64550549647360,215039975389696,133921428,284670472,cubic,2025-07-17 16:31:50,0,memory_bound,20000000,10000000,10,5,300,16384,87380,16777216
13.3,4.94482421875,4.17919921875,4.46630859375,0.0,2.0,32.0,27.99,472735358976,419033640960,50523189248,11.4,0,0,0.0,64550549651456,215039975631360,133945215,284691405,cubic,2025-07-17 16:31:53,0,mixed,6000000,500000,60,20,1000,4096,87380,6291456
10.8,4.94482421875,4.17919921875,4.46630859375,0.0,2.0,32.0,27.85,472735358976,419005657088,50550714368,11.4,0,0,0.0,64550549790720,215039975877120,133967752,284712744,cubic,2025-07-17 16:31:57,0,mixed,6000000,500000,60,20,1000,4096,87380,6291456
10.4,5.27001953125,4.25927734375,4.49072265625,0.0,2.0,32.0,28.0,472735358976,418968215552,50588205056,11.4,0,0,0.0,64550549790720,215039975877120,133973768,284717780,cubic,2025-07-17 16:32:00,0,mixed,6000000,500000,60,20,1000,4096,87380,6291456
12.1,5.27001953125,4.25927734375,4.49072265625,0.0,2.0,32.0,28.03,472735358976,418983395328,50573254656,11.4,0,0,0.0,64550549790720,215040041859584,134015391,284756323,cubic,2025-07-17 16:32:03,0,mixed,6000000,500000,60,20,1000,4096,87380,6291456
8.4,8.37158203125,4.91943359375,4.703125,0.0,2.0,32.0,27.95,472735358976,418999926784,50556710912,11.4,0,0,0.0,64550553677824,215041048099328,134036937,284776223,cubic,2025-07-17 16:32:06,0,mixed,10000000,5000000,30,10,500,4096,65536,4194304
8.7,7.861328125,4.87060546875,4.6884765625,0.0,2.0,32.0,28.0,472735358976,418988417024,50568052736,11.4,0,0,0.0,64550553759744,215041048504832,134046114,284784358,cubic,2025-07-17 16:32:09,0,mixed,10000000,5000000,30,10,500,4096,65536,4194304
15.8,7.861328125,4.87060546875,4.6884765625,0.0,2.0,32.0,27.96,472735358976,418899734528,50657198080,11.4,0,0,0.0,64550553759744,215041049164288,134054090,284791606,cubic,2025-07-17 16:32:12,0,mixed,10000000,5000000,30,10,500,4096,65536,4194304
5.2,7.4716796875,4.83935546875,4.67919921875,0.0,2.0,32.0,28.02,472735358976,418916352000,50640281600,11.4,0,0,0.0,64550553759744,215041105316352,134065719,284802197,cubic,2025-07-17 16:32:15,0,mixed,10000000,5000000,30,10,500,4096,65536,4194304
8.9,7.2734375,4.84228515625,4.68115234375,0.0,2.0,32.0,28.09,472735358976,418895343616,50661351424,11.4,0,0,0.0,64550553759744,215042419505664,134080896,284815166,cubic,2025-07-17 16:32:18,0,mixed,20000000,10000000,10,5,300,16384,87380,16777216
12.3,7.2734375,4.84228515625,4.68115234375,0.0,2.0,32.0,27.94,472735358976,418926985216,50629951488,11.4,0,0,0.0,64550553759744,215042548083200,134125681,284858079,cubic,2025-07-17 16:32:21,0,mixed,20000000,10000000,10,5,300,16384,87380,16777216
10.6,6.93115234375,4.8115234375,4.671875,0.0,2.0,32.0,28.0,472735358976,418903629824,50652958720,11.4,0,0,0.0,64550553759744,215042548083200,134132896,284864934,cubic,2025-07-17 16:32:24,0,mixed,20000000,10000000,10,5,300,16384,87380,16777216
11.7,6.93115234375,4.8115234375,4.671875,0.0,2.0,32.0,28.05,472735358976,418922049536,50634153984,11.4,0,0,0.0,64550553759744,215042548324864,134159712,284890492,cubic,2025-07-17 16:32:27,0,mixed,20000000,10000000,10,5,300,16384,87380,16777216
6.2,4.89453125,4.5185546875,4.52001953125,0.0,2.0,32.0,28.0,472735358976,414930923520,54626107392,12.2,0,0,0.0,64550758854656,215044359096832,143221870,293295992,cubic,2025-07-17 16:57:07,0,cpu_bound,6000000,500000,10,5,300,4096,87380,6291456
8.0,4.66259765625,4.4765625,4.50634765625,0.0,2.0,32.0,28.1,472735358976,414923378688,54633963520,12.2,0,0,0.0,64550758854656,215044359158272,143236830,293309824,cubic,2025-07-17 16:57:10,0,cpu_bound,6000000,500000,10,5,300,4096,87380,6291456
11.3,4.66259765625,4.4765625,4.50634765625,0.0,2.0,32.0,28.17,472735358976,414918270976,54638280704,12.2,0,0,0.0,64550758854656,215044359821824,143252528,293324096,cubic,2025-07-17 16:57:13,0,cpu_bound,6000000,500000,10,5,300,4096,87380,6291456
